순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,K%,K/BB
1,SK,3.48,144,88,55,51,92,0.615,1292.333,1240,99,436,50,1092,546,500,1.30,0,19,78,8,5463,20930,0.254,176,14,48,44,12,50,4,19.95,2.505
2,두산,3.51,144,88,55,44,69,0.615,1283.667,1259,78,380,70,860,550,500,1.28,3,10,81,16,5434,20630,0.257,231,22,41,53,22,48,5,15.833,2.263
3,키움,3.61,144,86,57,39,91,0.601,1279.0,1293,61,371,58,984,572,513,1.30,2,12,76,11,5427,20160,0.263,244,24,42,39,3,45,6,18.118,2.652
4,LG,3.86,144,79,64,43,62,0.552,1283.333,1257,89,499,91,953,633,551,1.37,1,9,73,13,5555,20969,0.258,223,23,40,48,15,64,1,17.114,1.91
5,NC,4.01,144,73,69,32,68,0.514,1284.333,1285,103,483,92,991,631,572,1.38,5,8,60,17,5578,21407,0.262,199,19,41,54,10,68,2,17.745,2.052
6,KT,4.29,144,71,71,37,59,0.500,1277.0,1303,118,481,61,848,661,608,1.40,2,10,62,9,5533,20662,0.266,225,25,47,42,17,50,6,15.284,1.763
7,삼성,4.64,144,60,83,29,60,0.420,1275.333,1332,125,523,70,924,731,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,16.431,1.767
8,KIA,4.65,144,62,80,30,64,0.437,1264.0,1362,101,504,76,976,723,653,1.48,3,11,59,13,5614,21353,0.276,257,24,35,61,17,51,2,17.405,1.937
9,한화,4.80,144,58,86,28,43,0.403,1268.667,1407,120,526,72,934,737,677,1.52,2,8,48,17,5656,21848,0.283,238,19,44,44,9,66,4,16.432,1.776
10,롯데,4.83,144,48,93,16,47,0.340,1271.0,1407,120,546,71,1033,764,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,18.091,1.892
