순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,K%,K/BB
1,KIA,4.40,139,84,53,44,87,0.613,1244.0,1314,139,522,84,1090,732,608,1.48,4,7,39,20,5574,21727,0.268,226,18,33,34,13,47,3,19.719,2.088
2,삼성,4.64,141,77,62,40,113,0.554,1256.667,1351,159,466,79,963,698,648,1.45,2,11,46,25,5563,21874,0.275,222,22,47,60,18,57,2,17.382,2.067
3,LG,4.65,140,73,65,33,63,0.529,1241.0,1340,121,522,80,1047,712,641,1.50,2,6,57,19,5549,21616,0.277,214,10,49,56,10,67,4,18.896,2.006
4,NC,4.84,136,60,74,22,63,0.448,1206.667,1299,127,501,60,999,739,649,1.49,0,7,53,15,5370,21103,0.276,252,23,52,53,8,45,6,18.64,1.994
5,두산,4.86,141,71,68,39,78,0.511,1256.667,1308,133,573,91,1052,737,678,1.50,1,6,41,19,5648,22491,0.268,221,30,55,40,11,66,4,18.731,1.836
6,한화,5.04,139,64,73,25,65,0.467,1230.667,1385,128,496,74,1095,760,689,1.53,0,9,44,18,5523,21785,0.285,225,23,47,48,10,61,4,19.823,2.208
7,롯데,5.05,138,63,71,30,57,0.470,1227.667,1383,135,511,73,1090,761,689,1.54,1,6,55,26,5542,21651,0.285,241,18,51,52,18,76,3,19.721,2.133
8,키움,5.10,138,57,81,22,47,0.413,1220.0,1351,143,478,83,891,755,692,1.50,0,3,55,14,5465,20632,0.281,242,24,40,62,14,61,7,16.349,1.864
9,KT,5.14,141,69,70,28,50,0.496,1254.333,1422,153,432,64,1096,789,717,1.48,0,5,48,18,5595,21261,0.285,254,34,49,65,22,56,5,19.728,2.537
10,SSG,5.29,139,68,69,31,78,0.496,1224.667,1299,158,613,72,1139,793,720,1.56,0,8,39,19,5541,21913,0.273,192,13,48,41,24,56,4,20.576,1.858
