순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,K%,K/BB
1,LG,4.30,144,69,72,32,66,0.489,1279.0,1305,124,379,102,1040,677,611,1.32,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,18.926,2.744
2,두산,4.38,144,84,57,35,46,0.596,1288.0,1405,125,464,87,956,678,627,1.45,3,9,69,13,5682,22169,0.280,234,31,77,39,11,54,4,16.798,2.06
3,롯데,4.56,144,80,62,39,59,0.563,1287.333,1357,162,477,79,1096,701,652,1.42,1,10,61,21,5634,21978,0.273,245,20,51,50,25,67,7,19.411,2.298
4,NC,4.71,144,79,62,32,51,0.560,1284.667,1342,169,470,93,1097,745,673,1.41,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,19.483,2.334
5,KIA,4.79,144,87,56,33,46,0.608,1290.0,1518,137,434,77,985,743,687,1.51,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,17.071,2.27
6,SSG,5.02,144,75,68,30,64,0.524,1270.667,1443,154,481,105,940,767,709,1.51,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,16.451,1.954
7,키움,5.03,144,69,73,40,66,0.486,1271.0,1488,149,388,97,1005,764,710,1.48,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,17.76,2.59
8,한화,5.28,144,61,81,31,49,0.430,1273.0,1474,166,446,100,914,820,747,1.51,1,5,54,21,5698,22066,0.293,278,16,71,57,13,77,4,16.002,2.049
9,KT,5.75,144,50,94,22,41,0.347,1256.0,1524,174,433,95,913,876,803,1.56,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,16.033,2.109
10,삼성,5.88,144,55,84,27,34,0.396,1281.333,1541,187,548,118,1063,911,837,1.63,1,3,43,12,5916,23196,0.300,281,28,56,59,15,74,4,17.947,1.94
