순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,K%,K/BB
1,LG,3.67,144,86,56,37,92,0.606,1293.333,1266,74,491,76,977,610,527,1.36,0,9,50,18,5619,21814,0.256,215,17,64,42,15,47,5,17.497,1.99
2,NC,3.83,144,75,67,33,88,0.528,1281.333,1160,99,513,62,1090,617,545,1.31,0,14,53,17,5493,21941,0.241,179,24,63,42,6,58,3,19.997,2.125
3,두산,3.92,144,74,68,41,70,0.521,1284.667,1245,90,501,82,1013,625,560,1.36,0,9,64,17,5582,22142,0.255,239,17,79,39,12,60,3,18.241,2.022
4,KT,3.94,144,79,62,39,61,0.560,1287.0,1326,83,413,50,968,616,564,1.35,0,12,64,14,5542,20672,0.268,213,22,81,54,22,63,4,17.532,2.344
5,KIA,4.13,144,73,69,33,66,0.514,1269.0,1244,89,564,59,980,650,583,1.42,1,8,46,10,5558,21710,0.258,220,25,67,45,20,55,4,17.667,1.738
6,롯데,4.15,144,68,76,35,82,0.472,1272.333,1328,80,532,82,1070,660,586,1.46,1,10,66,21,5653,22286,0.270,223,24,72,55,20,71,2,18.999,2.011
7,SSG,4.37,144,76,65,46,71,0.539,1288.333,1354,104,612,67,974,698,626,1.53,1,7,57,21,5722,22881,0.275,216,14,59,52,20,61,3,16.883,1.592
8,한화,4.38,144,58,80,20,68,0.420,1291.667,1292,101,518,103,1037,708,628,1.40,0,8,40,24,5682,22355,0.261,241,34,60,48,23,73,7,18.325,2.002
9,키움,4.42,144,58,83,33,61,0.411,1288.333,1340,84,532,63,962,710,632,1.45,1,11,68,24,5704,21903,0.269,237,23,62,57,18,56,7,16.963,1.808
10,삼성,4.60,144,61,82,38,69,0.427,1278.333,1414,120,464,52,899,728,654,1.47,1,5,63,17,5676,22135,0.280,238,22,66,51,19,51,7,15.948,1.938
