순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,K%,K/BB
1,두산,4.45,144,93,50,36,55,0.650,1287.667,1385,136,498,77,982,682,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,17.246,1.972
2,NC,4.48,144,83,58,36,62,0.589,1286.333,1314,137,516,86,1147,690,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,20.314,2.223
3,SSG,4.87,144,69,75,31,43,0.479,1274.0,1386,151,527,76,945,784,689,1.50,1,5,60,12,5659,21558,0.280,232,22,61,48,18,65,7,16.627,1.793
4,키움,4.96,144,77,66,38,74,0.538,1280.333,1487,152,435,68,895,757,705,1.50,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,15.694,2.057
5,KIA,4.97,144,70,73,38,74,0.490,1276.0,1456,131,561,59,965,785,705,1.58,7,5,58,21,5771,22527,0.290,230,23,75,54,18,69,7,16.706,1.72
6,LG,5.04,144,71,71,34,75,0.500,1287.667,1426,122,539,109,909,807,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,15.65,1.686
7,롯데,5.63,144,66,78,27,59,0.458,1266.333,1486,161,585,78,1009,865,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,17.333,1.725
8,삼성,5.64,144,65,78,34,60,0.455,1282.333,1507,193,518,87,935,869,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,16.036,1.805
9,한화,5.76,144,66,75,24,39,0.468,1292.667,1520,155,634,76,976,908,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,16.325,1.539
10,KT,5.92,144,53,89,27,48,0.373,1273.0,1593,145,560,84,980,927,838,1.69,1,2,38,15,5896,23328,0.310,315,38,73,45,9,77,9,16.53,1.75
