순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,K%,K/BB
1,NC,4.26,144,84,57,37,55,0.596,1279.333,1283,149,436,113,1057,655,605,1.34,1,11,55,11,5536,21650,0.264,221,17,79,50,13,60,3,19.072,2.424
2,LG,4.62,144,64,78,25,44,0.451,1279.667,1352,125,490,98,1063,721,657,1.44,3,5,57,15,5599,21661,0.277,227,26,91,37,30,82,3,18.811,2.169
3,삼성,4.69,144,88,56,34,60,0.611,1275.333,1323,182,423,64,1194,716,665,1.37,4,7,75,10,5523,21832,0.268,270,17,67,37,11,44,2,21.676,2.823
4,SSG,4.71,144,69,73,31,60,0.486,1280.667,1358,153,517,70,1149,724,670,1.46,3,7,57,12,5646,22190,0.275,270,11,77,38,31,71,4,20.304,2.222
5,KIA,4.79,144,67,77,32,65,0.465,1273.0,1371,143,572,98,979,739,678,1.53,1,10,44,17,5673,22126,0.283,252,31,101,49,22,80,4,17.077,1.712
6,키움,4.91,144,78,65,29,44,0.545,1286.0,1404,146,518,81,1066,790,701,1.49,1,7,49,11,5709,22181,0.281,236,28,70,45,8,85,4,18.596,2.058
7,두산,5.02,144,79,65,30,57,0.549,1286.0,1385,138,584,77,1064,776,718,1.53,3,10,58,18,5762,22557,0.280,248,22,104,45,15,72,11,18.423,1.822
8,롯데,5.07,144,66,77,19,47,0.462,1281.333,1461,164,489,87,1015,802,722,1.52,3,5,59,18,5724,22356,0.291,253,13,76,49,26,89,3,17.643,2.076
9,한화,5.11,144,68,76,32,44,0.472,1279.667,1349,157,648,96,920,800,727,1.56,5,7,37,14,5771,22825,0.275,232,12,82,45,38,85,9,15.851,1.42
10,KT,5.56,144,52,91,16,31,0.364,1266.667,1518,154,577,87,1046,875,782,1.65,3,3,34,10,5799,22867,0.303,273,25,87,43,17,86,4,17.864,1.813
