일자,홈/어웨이,팀명,선발투수,시즌평균자책점,시즌WAR,시즌경기,시즌선발평균이닝,시즌QS,시즌WHIP,홈어웨이평균자책점,홈어웨이경기,홈어웨이선발평균이닝,홈어웨이QS,홈어웨이WHIP,맞대결평균자책점,맞대결경기,맞대결선발평균이닝,맞대결QS,맞대결WHIP
2024-09-20,어웨이,두산,곽빈,4.14,3.12,28,5.2,16,1.29,5.00,12,5.2,7,1.34,4.09,2,5.2,1,1.27
2024-09-20,홈,LG,에르난데스,4.05,0.86,8,5.2,2,1.25,3.60,3,4.2,0,1.60,1.80,1,5.0,0,0.60
2024-09-20,어웨이,키움,후라도,3.17,5.49,29,6.1,23,1.14,3.77,14,6.0,9,1.21,3.15,3,6.2,2,1.10
2024-09-20,홈,SSG,송영진,5.48,0.35,25,4.0,3,1.63,3.44,12,4.2,3,1.25,4.50,2,5.0,0,0.50
2024-09-20,어웨이,롯데,반즈,2.99,4.36,23,6.0,17,1.20,2.71,10,6.1,8,1.10,4.86,3,5.2,2,1.20
2024-09-20,홈,NC,요키시,6.29,-0.05,7,5.0,2,1.83,7.07,3,4.2,0,2.21,-,-,-,-,-
