일자,홈/어웨이,팀명,선발투수,시즌평균자책점,시즌WAR,시즌경기,시즌선발평균이닝,시즌QS,시즌WHIP,홈어웨이평균자책점,홈어웨이경기,홈어웨이선발평균이닝,홈어웨이QS,홈어웨이WHIP,맞대결평균자책점,맞대결경기,맞대결선발평균이닝,맞대결QS,맞대결WHIP
2024-09-28,어웨이,KIA,윤영철,4.14,1.09,17,4.2,3,1.49,3.97,9,5.0,1,1.46,9.39,2,4.0,0,2.35
2024-09-28,홈,롯데,반즈,3.16,4.38,24,6.0,17,1.22,3.21,13,5.2,9,1.28,2.37,3,6.1,2,1.16
2024-09-28,어웨이,LG,이지강,4.09,0.32,45,3.0,0,1.60,5.23,20,3.0,0,1.79,0.00,5,0.0,0,0.63
2024-09-28,홈,삼성,최채흥,5.29,0.03,13,0.0,0,1.82,5.06,5,0.0,0,1.13,5.40,1,0.0,0,3.60
2024-09-28,어웨이,두산,김유성,6.92,-0.17,16,2.2,0,2.00,5.94,9,3.1,0,1.74,-,-,-,-,-
2024-09-28,홈,NC,이용준,6.46,-0.01,8,4.0,1,1.63,5.29,4,4.1,1,1.53,5.40,1,5.0,0,1.80
2024-09-28,어웨이,키움,조영건,7.68,-0.57,24,5.0,0,1.95,11.88,7,0.0,0,2.64,27.00,2,0.0,0,3.00
2024-09-28,홈,KT,벤자민,4.49,1.92,27,5.1,10,1.23,4.17,13,5.1,4,1.19,0.47,3,6.1,2,0.93
2024-09-28,어웨이,SSG,김광현,4.99,1.68,30,5.1,13,1.45,3.79,13,5.1,8,1.28,3.27,2,5.2,1,1.55
2024-09-28,홈,한화,김기중,6.55,-0.12,26,3.2,1,1.86,6.90,18,3.2,1,1.93,0.00,1,0.0,0,1.50
