순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,두산,133,211,167,44,79.1,49,3
2,LG,132,241,163,78,67.6,55,11
3,SSG,132,171,134,37,78.4,29,3
4,KIA,132,159,118,41,74.2,42,4
5,삼성,133,137,109,28,79.6,36,4
6,NC,130,130,100,30,76.9,43,7
7,롯데,129,133,99,34,74.4,45,13
8,한화,130,104,64,40,61.5,43,7
9,키움,132,73,60,13,82.2,31,3
10,KT,133,82,56,26,68.3,32,4
