일자,홈/어웨이,팀명,시즌평균자책점,시즌타율,시즌평균득점,시즌평균실점,홈어웨이평균자책점,홈어웨이시즌타율,홈어웨이평균득점,홈어웨이평균실점,맞대결평균자책점,맞대결타율,맞대결평균득점,맞대결평균실점
2024-09-12,어웨이,NC,4.83,0.273,5.5,5.4,5.55,0.266,5.5,5.8,5.16,0.283,5.5,6.1
2024-09-12,홈,KT,5.16,0.276,5.3,5.6,5.20,0.279,4.8,5.8,5.23,0.283,6.1,5.5
2024-09-12,어웨이,롯데,5.01,0.283,5.5,5.4,5.29,0.265,5.1,5.5,4.15,0.297,6.4,4.6
2024-09-12,홈,KIA,4.41,0.300,6.0,5.3,4.82,0.295,5.8,5.8,5.63,0.269,4.6,6.4
2024-09-12,어웨이,삼성,4.46,0.270,5.3,4.8,4.17,0.265,4.9,4.3,4.41,0.293,5.1,4.9
2024-09-12,홈,한화,4.98,0.270,5.2,5.4,5.12,0.268,5.1,5.6,5.02,0.267,4.9,5.1
