순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,두산,144,88,55,1,0.615,0,8승1무1패,5승,47-0-25,41-1-30
2,키움,144,86,57,1,0.601,2,6승0무4패,2승,45-1-26,41-0-31
3,SSG,144,88,55,1,0.615,0,4승0무6패,2승,44-1-27,44-0-28
4,LG,144,79,64,1,0.552,9,4승0무6패,1승,41-1-30,38-0-34
5,NC,144,73,69,2,0.514,14.5,4승1무5패,2패,40-2-30,33-0-39
6,KT,144,71,71,2,0.500,16.5,7승0무3패,2승,41-1-30,30-1-41
7,KIA,144,62,80,2,0.437,25.5,5승0무5패,3승,39-0-33,23-2-47
8,삼성,144,60,83,1,0.420,28,4승0무6패,1패,36-0-36,24-1-47
9,한화,144,58,86,0,0.403,30.5,6승0무4패,3패,31-0-41,27-0-45
10,롯데,144,48,93,3,0.340,39,1승0무9패,8패,29-1-42,19-2-51
