순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,두산,144,79,65,0,0.549,9,6승0무4패,2승,41-0-31,38-0-34
2,삼성,144,88,56,0,0.611,0,6승0무4패,3승,46-0-26,42-0-30
3,NC,144,84,57,3,0.596,2.5,6승1무3패,1패,40-2-30,44-1-27
4,키움,144,78,65,1,0.545,9.5,4승0무6패,1패,40-0-32,38-1-33
5,SSG,144,69,73,2,0.486,18,6승0무4패,1승,37-1-34,32-1-39
6,한화,144,68,76,0,0.472,20,6승0무4패,1패,38-0-34,30-0-42
7,KIA,144,67,77,0,0.465,21,4승0무6패,4패,36-0-36,31-0-41
8,롯데,144,66,77,1,0.462,21.5,2승0무8패,1승,37-0-35,29-1-42
9,LG,144,64,78,2,0.451,23,6승0무4패,2승,33-2-37,31-0-41
10,KT,144,52,91,1,0.364,35.5,2승1무7패,1패,30-0-42,22-1-49
