순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,두산,144,93,50,1,0.650,0,6승0무4패,2승,46-1-25,47-0-25
2,NC,144,83,58,3,0.589,9,6승0무4패,2패,39-2-31,44-1-27
3,키움,144,77,66,1,0.538,16,3승0무7패,3패,44-0-28,33-1-38
4,LG,144,71,71,2,0.500,21.5,4승1무5패,1패,40-2-30,31-0-41
5,KIA,144,70,73,1,0.490,23,5승0무5패,2패,38-0-34,32-1-39
6,SSG,144,69,75,0,0.479,24.5,4승0무6패,1승,35-0-37,34-0-38
7,한화,144,66,75,3,0.468,26,6승0무4패,3승,36-2-34,30-1-41
8,롯데,144,66,78,0,0.458,27.5,5승0무5패,2승,40-0-32,26-0-46
9,삼성,144,65,78,1,0.455,28,5승0무5패,1패,34-0-38,31-1-40
10,KT,144,53,89,2,0.373,39.5,4승0무6패,2승,28-0-44,25-2-45
