순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,SSG,144,78,65,1,0.545,14.5,3승0무7패,2패,42-0-30,36-1-35
2,두산,144,93,51,0,0.646,0,6승0무4패,1승,51-0-21,42-0-30
3,한화,144,77,67,0,0.535,16,5승0무5패,1승,43-0-29,34-0-38
4,키움,144,75,69,0,0.521,18,5승0무5패,1패,37-0-35,38-0-34
5,KIA,144,70,74,0,0.486,23,4승0무6패,1패,43-0-29,27-0-45
6,삼성,144,68,72,4,0.486,23,6승1무3패,2승,33-3-36,35-1-36
7,롯데,144,68,74,2,0.479,24,6승0무4패,1패,34-0-38,34-2-36
8,LG,144,68,75,1,0.476,24.5,4승0무6패,2승,39-1-32,29-0-43
9,KT,144,59,82,3,0.418,32.5,5승0무5패,1승,31-2-39,28-1-43
10,NC,144,58,85,1,0.406,34.5,2승0무8패,3패,33-0-39,25-1-46
