순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KIA,144,87,56,1,0.608,0,6승0무4패,2승,45-0-27,42-1-29
2,두산,144,84,57,3,0.596,2,8승0무2패,1패,39-3-30,45-0-27
3,롯데,144,80,62,2,0.563,6.5,8승0무2패,5승,45-2-25,35-0-37
4,NC,144,79,62,3,0.560,7,5승1무4패,4승,44-1-27,35-2-35
5,SSG,144,75,68,1,0.524,12,7승0무3패,2승,42-0-30,33-1-38
6,LG,144,69,72,3,0.489,17,4승0무6패,2패,38-0-34,31-3-38
7,키움,144,69,73,2,0.486,17.5,3승0무7패,4패,39-2-31,30-0-42
8,한화,144,61,81,2,0.430,25.5,3승1무6패,5패,30-1-41,31-1-40
9,삼성,144,55,84,5,0.396,30,4승0무6패,2승,28-2-42,27-3-42
10,KT,144,50,94,0,0.347,37.5,3승0무7패,2패,27-0-45,23-0-49
