순위,팀명,경기,승,무,패,승률,기대승률,R/G,득점,홈런,도루,볼넷%,삼진%,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
1,두산,144,88,1,55,0.615,0.630,5.11,736,84,102,10.0,14.1,0.311,0.278,0.355,0.389,0.744,0.340,24.80
2,SSG,144,88,1,55,0.615,0.582,4.55,655,117,117,8.4,17.4,0.303,0.262,0.334,0.384,0.718,0.326,16.35
3,키움,144,86,1,57,0.601,0.637,5.42,780,112,110,9.1,16.7,0.325,0.282,0.354,0.414,0.768,0.348,29.32
4,LG,144,79,1,64,0.552,0.506,4.45,641,94,107,7.8,17.4,0.312,0.267,0.333,0.378,0.711,0.323,14.69
5,NC,144,73,2,69,0.514,0.530,4.68,674,128,86,8.1,15.6,0.312,0.278,0.345,0.416,0.761,0.343,25.20
6,KT,144,71,2,71,0.500,0.492,4.51,650,103,104,8.5,17.4,0.324,0.277,0.344,0.385,0.729,0.332,19.81
7,KIA,144,62,2,80,0.437,0.420,4.20,605,76,87,9.0,16.7,0.308,0.264,0.336,0.369,0.705,0.323,14.49
8,삼성,144,60,1,83,0.420,0.427,4.32,621,122,107,8.6,17.6,0.294,0.256,0.329,0.389,0.718,0.325,16.15
9,한화,144,58,0,86,0.403,0.413,4.22,607,88,105,8.0,19.9,0.310,0.256,0.324,0.362,0.686,0.313,9.29
10,롯데,144,48,3,93,0.340,0.376,4.01,578,90,65,7.8,19.8,0.301,0.250,0.316,0.358,0.674,0.308,6.57
