순위,팀명,경기,승,무,패,승률,기대승률,R/G,득점,홈런,도루,볼넷%,삼진%,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
1,KIA,144,87,1,56,0.608,0.589,6.29,906,170,76,8.5,15.2,0.335,0.302,0.370,0.469,0.839,0.360,30.26
2,두산,144,84,3,57,0.596,0.601,5.90,849,178,69,9.3,16.5,0.329,0.294,0.369,0.459,0.828,0.357,28.19
3,롯데,144,80,2,62,0.563,0.526,5.16,743,151,92,8.1,18.0,0.330,0.285,0.356,0.433,0.789,0.342,18.02
4,NC,144,79,3,62,0.560,0.524,5.46,786,149,93,8.2,16.9,0.335,0.293,0.365,0.443,0.808,0.351,24.60
5,SK,144,75,1,68,0.524,0.496,5.28,761,234,53,7.7,19.8,0.304,0.271,0.341,0.465,0.806,0.342,17.11
6,LG,144,69,3,72,0.489,0.515,4.85,699,110,76,7.8,18.2,0.331,0.281,0.348,0.400,0.748,0.328,8.67
7,넥센,144,69,2,73,0.486,0.515,5.48,789,141,70,8.2,18.7,0.340,0.290,0.357,0.437,0.794,0.344,19.63
8,한화,144,61,2,81,0.430,0.452,5.12,737,150,64,7.3,17.2,0.328,0.287,0.350,0.435,0.785,0.340,16.32
9,삼성,144,55,5,84,0.396,0.417,5.26,757,145,97,7.5,17.2,0.317,0.279,0.340,0.428,0.768,0.330,11.81
10,kt,144,50,0,94,0.347,0.371,4.55,655,119,86,6.8,18.5,0.323,0.275,0.332,0.410,0.742,0.322,5.29
