순위,팀명,경기,승,무,패,승률,기대승률,R/G,득점,홈런,도루,볼넷%,삼진%,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
1,삼성,144,88,0,56,0.611,0.601,6.23,897,176,157,10.0,16.0,0.337,0.302,0.378,0.469,0.847,0.370,32.79
2,NC,144,84,3,57,0.596,0.613,5.86,844,161,204,9.4,17.9,0.333,0.289,0.367,0.455,0.822,0.359,26.37
3,두산,144,79,0,65,0.549,0.518,5.60,807,140,111,9.8,14.2,0.320,0.290,0.370,0.435,0.805,0.355,23.27
4,넥센,144,78,1,65,0.545,0.561,6.28,904,203,100,9.4,18.9,0.343,0.298,0.372,0.486,0.858,0.371,33.10
5,SK,144,69,2,73,0.486,0.480,4.81,693,145,94,8.8,18.7,0.319,0.272,0.349,0.410,0.759,0.337,11.47
6,한화,144,68,0,76,0.472,0.450,4.98,717,130,80,10.2,19.9,0.328,0.271,0.360,0.404,0.764,0.341,14.31
7,KIA,144,67,0,77,0.465,0.440,4.50,648,136,115,8.3,20.6,0.298,0.251,0.326,0.392,0.718,0.317,0.95
8,롯데,144,66,1,77,0.462,0.479,5.31,765,177,104,9.4,20.9,0.334,0.280,0.356,0.446,0.802,0.351,20.31
9,LG,144,64,2,78,0.451,0.455,4.54,653,114,113,8.3,19.2,0.321,0.269,0.339,0.399,0.738,0.327,5.68
10,kt,144,52,1,91,0.364,0.381,4.65,670,129,124,9.0,19.8,0.326,0.273,0.345,0.402,0.747,0.332,9.37
