순위,팀명,경기,승,무,패,승률,기대승률,R/G,득점,홈런,도루,볼넷%,삼진%,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
1,SSG,144,88,4,52,0.629,0.566,5.00,720,138,98,9.4,19.1,0.297,0.254,0.336,0.396,0.732,0.332,21.86
2,LG,144,87,2,55,0.613,0.640,4.96,715,118,102,8.9,16.4,0.307,0.269,0.346,0.396,0.742,0.338,24.88
3,KT,144,80,2,62,0.563,0.552,4.38,631,119,89,9.4,21.3,0.310,0.254,0.330,0.375,0.705,0.320,15.41
4,키움,144,80,2,62,0.563,0.508,4.31,621,94,63,9.3,18.2,0.299,0.252,0.333,0.363,0.696,0.320,15.86
5,KIA,144,70,1,73,0.490,0.527,5.00,720,113,104,9.5,17.2,0.317,0.272,0.349,0.398,0.747,0.339,26.27
6,NC,144,67,3,74,0.475,0.503,4.49,646,105,100,9.0,17.6,0.299,0.257,0.334,0.375,0.709,0.323,17.09
7,삼성,144,66,2,76,0.465,0.479,4.60,663,103,91,7.9,18.2,0.319,0.270,0.334,0.387,0.721,0.325,18.81
8,롯데,144,64,4,76,0.457,0.426,4.20,605,106,61,7.5,17.9,0.312,0.267,0.328,0.383,0.711,0.321,15.11
9,두산,144,60,2,82,0.423,0.445,4.43,638,101,90,8.2,18.3,0.300,0.255,0.324,0.365,0.689,0.314,11.90
10,한화,144,46,2,96,0.324,0.368,3.92,564,88,93,9.0,22.9,0.311,0.245,0.319,0.352,0.671,0.308,8.00
