순위,팀명,경기,승,무,패,승률,기대승률,R/G,득점,홈런,도루,볼넷%,삼진%,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
1,두산,144,93,0,51,0.646,0.600,6.56,944,191,96,8.5,17.3,0.350,0.309,0.376,0.486,0.862,0.366,34.25
2,SK,144,78,1,65,0.545,0.558,5.76,829,233,107,8.5,19.0,0.315,0.281,0.356,0.473,0.829,0.353,24.14
3,한화,144,77,0,67,0.535,0.480,5.06,729,151,118,7.6,19.8,0.325,0.275,0.341,0.422,0.763,0.328,7.53
4,Hero,144,75,0,69,0.521,0.525,5.73,825,165,100,8.2,20.9,0.345,0.288,0.355,0.448,0.803,0.342,18.52
5,KIA,144,70,0,74,0.486,0.521,6.01,865,170,87,8.8,15.8,0.328,0.295,0.367,0.457,0.824,0.352,24.33
6,삼성,144,68,4,72,0.486,0.485,5.39,776,146,116,8.1,17.9,0.333,0.288,0.355,0.432,0.787,0.339,15.53
7,롯데,144,68,2,74,0.479,0.486,5.70,821,203,68,8.2,20.1,0.336,0.289,0.356,0.471,0.827,0.350,23.21
8,LG,144,68,1,75,0.476,0.484,5.47,788,148,72,7.4,17.7,0.337,0.293,0.353,0.445,0.798,0.341,16.58
9,KT,144,59,3,82,0.418,0.456,5.26,757,206,80,8.3,19.8,0.315,0.275,0.340,0.456,0.796,0.338,13.71
10,NC,144,58,1,85,0.406,0.390,4.58,660,143,80,7.8,19.7,0.306,0.261,0.329,0.404,0.733,0.316,1.82
