순위,팀명,경기,승,무,패,승률,기대승률,R/G,득점,홈런,도루,볼넷%,삼진%,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
1,두산,144,93,1,50,0.650,0.640,6.49,935,183,85,10.3,15.1,0.327,0.298,0.378,0.473,0.851,0.373,30.08
2,NC,144,83,3,58,0.589,0.597,5.95,857,169,99,10.4,17.5,0.333,0.291,0.375,0.450,0.825,0.365,25.33
3,키움,144,77,1,66,0.538,0.532,5.65,813,134,154,9.8,16.8,0.336,0.293,0.368,0.440,0.808,0.358,19.05
4,LG,144,71,2,71,0.500,0.488,5.46,786,118,121,9.1,17.0,0.336,0.290,0.361,0.417,0.778,0.348,13.53
5,KIA,144,70,1,73,0.490,0.510,5.58,803,170,102,8.7,17.5,0.325,0.286,0.358,0.452,0.810,0.356,18.82
6,SSG,144,69,0,75,0.479,0.482,5.23,753,182,89,7.6,17.9,0.331,0.291,0.356,0.454,0.810,0.355,17.39
7,한화,144,66,3,75,0.468,0.457,5.74,826,142,65,8.7,17.6,0.336,0.289,0.362,0.430,0.792,0.351,16.80
8,롯데,144,66,0,78,0.458,0.451,5.40,777,127,145,10.3,18.3,0.340,0.288,0.370,0.422,0.792,0.354,18.37
9,삼성,144,65,1,78,0.455,0.491,5.92,852,142,104,9.4,14.7,0.326,0.293,0.367,0.439,0.806,0.357,20.43
10,KT,144,53,2,89,0.373,0.358,4.67,672,116,96,8.9,16.6,0.317,0.276,0.345,0.394,0.739,0.331,4.20
