순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,한화,144,182,118,64,64.8,58,10
2,삼성,144,168,116,52,69.0,46,4
3,SSG,144,147,108,39,73.5,51,10
4,키움,144,134,101,33,75.4,45,6
5,두산,144,119,96,23,80.7,54,7
6,KIA,144,125,88,37,70.4,53,6
7,NC,144,117,82,35,70.1,48,8
8,KT,144,137,80,57,58.4,63,7
9,LG,144,109,71,38,65.1,48,7
10,롯데,144,100,68,32,68.0,46,10
