순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,LG,144,267,166,101,62.2,78,15
2,두산,144,181,133,48,73.5,52,11
3,KIA,144,156,122,34,78.2,41,6
4,NC,144,157,111,46,70.7,53,8
5,삼성,144,138,103,35,74.6,56,10
6,롯데,144,143,101,42,70.6,42,12
7,SSG,144,124,96,28,77.4,43,10
8,KT,144,117,87,30,74.4,54,5
9,한화,144,89,67,22,75.3,35,7
10,키움,144,65,54,11,83.1,37,7
