순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,NC,144,264,204,60,77.3,50,14
2,삼성,144,209,157,52,75.1,60,6
3,KT,144,176,124,52,70.5,58,10
4,KIA,144,165,115,50,69.7,60,13
5,LG,144,175,113,62,64.6,55,9
6,두산,144,158,111,47,70.3,56,6
7,롯데,144,154,104,50,67.5,56,9
8,넥센,144,147,100,47,68.0,72,16
9,SK,144,153,94,59,61.4,59,14
10,한화,144,127,80,47,63.0,57,14
