순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,SSG,144,168,118,50,70.2,51,12
2,키움,144,143,110,33,76.9,37,6
3,LG,144,155,108,47,69.7,38,6
4,삼성,144,149,107,42,71.8,45,7
5,한화,144,156,105,51,67.3,51,6
6,KT,144,148,104,44,70.3,58,8
7,두산,144,140,102,38,72.9,59,7
8,KIA,144,129,87,42,67.4,61,7
8,NC,144,132,87,45,65.9,53,7
10,롯데,144,96,65,31,67.7,49,8
