순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,KIA,144,137,103,34,75.2,57,5
2,LG,144,148,102,46,68.9,46,10
3,NC,144,139,100,39,71.9,56,7
4,SSG,144,137,98,39,71.5,42,4
5,한화,144,142,93,49,65.5,49,6
6,삼성,144,118,91,27,77.1,50,6
7,두산,144,130,90,40,69.2,55,4
8,KT,144,123,89,34,72.4,38,6
9,키움,144,83,63,20,75.9,42,8
10,롯데,144,100,61,39,61.0,54,6
