순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,삼성,144,135,98,37,72.6,53,6
2,NC,144,125,93,32,74.4,59,7
3,롯데,144,136,92,44,67.6,52,10
4,KT,144,137,86,51,62.8,54,8
5,LG,144,133,77,56,57.9,50,9
6,KIA,144,110,76,34,69.1,46,8
7,키움,144,104,70,34,67.3,55,2
8,두산,144,102,69,33,67.6,36,8
9,한화,144,108,64,44,59.3,58,12
10,SSG,144,95,53,42,55.8,33,7
