순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,넥센,144,237,154,83,65.0,56,11
2,롯데,144,209,145,64,69.4,55,10
3,LG,144,191,121,70,63.4,70,13
4,삼성,144,154,104,50,67.5,51,5
5,KIA,144,151,101,50,66.9,52,12
6,NC,144,140,99,41,70.7,48,3
7,KT,144,142,96,46,67.6,58,11
8,SK,144,149,89,60,59.7,71,8
9,두산,144,130,85,45,65.4,64,4
10,한화,144,102,64,38,62.7,58,10
