일자,홈/어웨이,팀명,선발투수,시즌평균자책점,시즌WAR,시즌경기,시즌선발평균이닝,시즌QS,시즌WHIP,홈어웨이평균자책점,홈어웨이경기,홈어웨이선발평균이닝,홈어웨이QS,홈어웨이WHIP,맞대결평균자책점,맞대결경기,맞대결선발평균이닝,맞대결QS,맞대결WHIP
2024-09-12,어웨이,키움,김윤하,6.68,-0.06,17,5.2,2,1.71,5.45,8,6.0,1,1.52,16.20,1,3.1,0,3.60
2024-09-12,홈,LG,손주영,3.90,2.26,25,5.1,10,1.49,3.51,13,5.2,8,1.39,5.56,2,5.2,1,1.85
2024-09-12,어웨이,NC,임상현,5.55,-0.16,9,3.2,0,1.85,14.54,3,1.1,0,2.54,4.76,2,2.2,0,2.29
2024-09-12,홈,KT,쿠에바스,3.88,3.60,28,5.2,18,1.19,5.40,13,5.1,4,1.43,4.85,3,4.1,2,1.15
2024-09-12,어웨이,롯데,김진욱,5.66,0.41,16,4.2,2,1.57,6.62,8,5.0,1,1.59,6.00,2,4.2,0,1.89
2024-09-12,홈,KIA,라우어,6.20,0.17,5,5.0,1,1.54,7.36,3,5.0,1,1.64,-,-,-,-,-
2024-09-12,어웨이,삼성,레예스,3.75,3.14,23,5.2,11,1.34,4.21,12,5.2,6,1.30,5.73,2,5.2,0,2.00
2024-09-12,홈,한화,김기중,6.53,-0.06,21,4.0,1,1.80,6.25,16,4.0,1,1.77,-,-,-,-,-
