타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명
670.0,0.329,188.0,32.0,325.0,108.0,88.0,112.0,2.0,0.568,0.421,로하스
255.0,0.295,69.0,1.0,86.0,41.0,18.0,17.0,7.0,0.368,0.346,천성호
201.0,0.293,51.0,6.0,85.0,33.0,18.0,27.0,0.0,0.489,0.369,오윤석
614.0,0.289,159.0,26.0,264.0,92.0,59.0,96.0,6.0,0.48,0.36,강백호
152.0,0.279,34.0,3.0,46.0,18.0,16.0,19.0,2.0,0.377,0.371,신본기
420.0,0.276,102.0,4.0,140.0,60.0,37.0,45.0,3.0,0.379,0.351,김상수
473.0,0.275,111.0,7.0,159.0,49.0,50.0,59.0,9.0,0.394,0.355,배정대
489.0,0.268,112.0,19.0,188.0,53.0,60.0,81.0,5.0,0.45,0.355,장성우
192.0,0.266,45.0,3.0,58.0,22.0,17.0,28.0,7.0,0.343,0.337,심우준
536.0,0.26,128.0,13.0,189.0,60.0,34.0,58.0,4.0,0.383,0.309,황재균
403.0,0.256,89.0,17.0,151.0,50.0,45.0,58.0,6.0,0.435,0.351,문상철
165.0,0.248,37.0,0.0,42.0,17.0,13.0,13.0,5.0,0.282,0.309,조용호
343.0,0.243,72.0,11.0,125.0,33.0,36.0,45.0,0.0,0.422,0.321,오재일
74.0,0.226,14.0,0.0,16.0,9.0,8.0,3.0,0.0,0.258,0.324,정준영
591.0,0.36,195.0,21.0,291.0,82.0,28.0,118.0,4.0,0.538,0.399,에레디아
240.0,0.307,66.0,1.0,87.0,40.0,19.0,23.0,16.0,0.405,0.371,정준재
564.0,0.301,147.0,10.0,201.0,78.0,64.0,67.0,13.0,0.411,0.38,박성한
550.0,0.291,136.0,37.0,278.0,93.0,55.0,107.0,5.0,0.594,0.384,최정
302.0,0.281,71.0,5.0,102.0,40.0,37.0,37.0,5.0,0.403,0.373,추신수
432.0,0.279,111.0,5.0,139.0,45.0,18.0,50.0,8.0,0.349,0.32,이지영
249.0,0.276,63.0,4.0,88.0,33.0,12.0,21.0,8.0,0.386,0.317,박지환
543.0,0.275,133.0,11.0,202.0,89.0,50.0,49.0,32.0,0.418,0.345,최지훈
288.0,0.275,68.0,9.0,111.0,43.0,31.0,36.0,27.0,0.449,0.355,오태곤
366.0,0.25,85.0,11.0,131.0,33.0,25.0,45.0,3.0,0.385,0.303,고명준
317.0,0.248,72.0,10.0,121.0,40.0,18.0,36.0,15.0,0.417,0.292,하재훈
523.0,0.235,109.0,24.0,210.0,64.0,46.0,87.0,0.0,0.453,0.314,한유섬
167.0,0.227,32.0,1.0,40.0,21.0,16.0,15.0,2.0,0.284,0.321,김성현
126.0,0.208,22.0,1.0,30.0,10.0,16.0,10.0,0.0,0.283,0.311,김민식
75.0,0.171,12.0,0.0,13.0,3.0,4.0,2.0,1.0,0.186,0.216,안상현
50.0,0.171,6.0,0.0,6.0,12.0,8.0,0.0,6.0,0.171,0.326,최경모
63.0,0.088,5.0,1.0,8.0,3.0,5.0,3.0,0.0,0.14,0.159,전의산
627.0,0.351,200.0,15.0,291.0,88.0,46.0,109.0,5.0,0.511,0.394,레이예스
401.0,0.321,116.0,4.0,159.0,94.0,31.0,26.0,51.0,0.44,0.377,황성빈
426.0,0.317,125.0,18.0,213.0,70.0,17.0,78.0,7.0,0.541,0.355,손호영
488.0,0.31,126.0,7.0,189.0,59.0,69.0,66.0,1.0,0.466,0.409,나승엽
529.0,0.305,146.0,13.0,224.0,78.0,41.0,85.0,5.0,0.469,0.356,고승민
116.0,0.3,30.0,0.0,38.0,10.0,13.0,18.0,0.0,0.38,0.374,이정훈
609.0,0.295,156.0,14.0,241.0,97.0,67.0,85.0,7.0,0.456,0.379,윤동희
479.0,0.293,123.0,17.0,204.0,57.0,48.0,82.0,3.0,0.486,0.368,전준우
321.0,0.263,74.0,9.0,120.0,30.0,35.0,47.0,1.0,0.427,0.341,정훈
105.0,0.263,25.0,2.0,37.0,13.0,6.0,4.0,0.0,0.389,0.32,이학주
464.0,0.261,105.0,7.0,147.0,55.0,46.0,52.0,4.0,0.366,0.349,박승욱
143.0,0.25,33.0,0.0,38.0,17.0,10.0,12.0,0.0,0.288,0.308,최항
