타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명,사진
315.0,0.294,80.0,4.0,105.0,28.0,39.0,36.0,1.0,0.386,0.381,맥키넌,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54424.jpg
188.0,0.286,46.0,7.0,73.0,26.0,22.0,20.0,1.0,0.453,0.378,윤정빈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68463.jpg
118.0,0.282,31.0,7.0,57.0,14.0,6.0,19.0,0.0,0.518,0.331,디아즈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54400.jpg
458.0,0.26,101.0,14.0,163.0,71.0,58.0,66.0,2.0,0.419,0.365,이재현,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52415.jpg
348.0,0.258,78.0,3.0,98.0,43.0,33.0,36.0,11.0,0.325,0.341,류지혁,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/62234.jpg
509.0,0.252,115.0,28.0,221.0,65.0,45.0,79.0,9.0,0.485,0.321,김영웅,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52430.jpg
8.0,0.25,2.0,1.0,5.0,1.0,0.0,3.0,0.0,0.625,0.25,김민수,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64793.jpg
166.0,0.248,36.0,1.0,43.0,9.0,17.0,9.0,0.0,0.297,0.335,이병헌,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/69428.jpg
89.0,0.243,18.0,0.0,22.0,15.0,9.0,6.0,3.0,0.297,0.326,김성윤,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/67449.jpg
355.0,0.242,73.0,22.0,151.0,56.0,31.0,57.0,9.0,0.5,0.339,이성규,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66409.jpg
91.0,0.238,20.0,2.0,30.0,13.0,5.0,12.0,4.0,0.357,0.278,김재상,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/53400.jpg
406.0,0.231,81.0,23.0,157.0,52.0,47.0,70.0,4.0,0.449,0.333,박병호,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/75125.jpg
128.0,0.225,25.0,5.0,45.0,17.0,14.0,14.0,0.0,0.405,0.313,전병우,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/65586.jpg
205.0,0.224,41.0,0.0,53.0,23.0,11.0,11.0,2.0,0.29,0.279,김현준,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/51417.jpg
166.0,0.218,31.0,0.0,33.0,24.0,11.0,8.0,4.0,0.232,0.279,안주형,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66406.jpg
23.0,0.2,4.0,0.0,5.0,3.0,3.0,1.0,0.0,0.25,0.304,김재성,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/65132.jpg
21.0,0.2,4.0,0.0,5.0,2.0,0.0,1.0,0.0,0.25,0.238,김태훈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/65040.jpg
21.0,0.19,4.0,0.0,5.0,1.0,0.0,2.0,0.0,0.238,0.19,이창용,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/51407.jpg
54.0,0.184,9.0,0.0,13.0,6.0,3.0,6.0,2.0,0.265,0.222,김재혁,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52424.jpg
29.0,0.174,4.0,0.0,6.0,5.0,5.0,2.0,0.0,0.261,0.321,양도근,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54408.jpg
21.0,0.111,2.0,0.0,3.0,1.0,1.0,2.0,0.0,0.167,0.19,김동엽,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66838.jpg
42.0,0.108,4.0,1.0,7.0,5.0,3.0,2.0,0.0,0.189,0.175,김동진,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/51403.jpg
25.0,0.095,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.095,0.091,강한울,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64610.jpg
17.0,0.071,1.0,1.0,4.0,1.0,1.0,2.0,0.0,0.286,0.235,공민규,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68407.jpg
32.0,0.069,2.0,0.0,2.0,4.0,1.0,3.0,0.0,0.069,0.125,김호진,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54460.jpg
6.0,0.667,4.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,0.667,이주헌,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/KBOHome/resources/images/common/no-Image.png
4.0,0.5,2.0,0.0,2.0,5.0,0.0,0.0,2.0,0.5,0.5,김대원,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54164.jpg
637.0,0.336,176.0,5.0,215.0,96.0,96.0,73.0,10.0,0.41,0.447,홍창기,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66108.jpg
3.0,0.333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,최명경,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54112.jpg
604.0,0.319,168.0,32.0,302.0,99.0,61.0,132.0,12.0,0.573,0.384,오스틴,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/53123.jpg
361.0,0.315,96.0,0.0,116.0,47.0,49.0,48.0,13.0,0.38,0.411,문성주,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68119.jpg
602.0,0.301,156.0,22.0,263.0,80.0,65.0,101.0,7.0,0.507,0.372,문보경,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/69102.jpg
474.0,0.297,115.0,0.0,138.0,78.0,64.0,40.0,32.0,0.357,0.401,신민재,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/65207.jpg
583.0,0.294,152.0,8.0,216.0,61.0,47.0,69.0,6.0,0.418,0.357,김현수,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/76290.jpg
498.0,0.272,118.0,20.0,200.0,58.0,55.0,80.0,1.0,0.461,0.349,박동원,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/79365.jpg
41.0,0.27,10.0,1.0,15.0,18.0,1.0,5.0,6.0,0.405,0.341,최원영,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52103.jpg
16.0,0.267,4.0,1.0,7.0,1.0,1.0,2.0,0.0,0.467,0.313,김성진,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/69105.jpg
553.0,0.263,127.0,6.0,173.0,72.0,46.0,56.0,43.0,0.359,0.336,박해민,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/62415.jpg
389.0,0.257,87.0,2.0,111.0,48.0,38.0,43.0,8.0,0.327,0.335,구본혁,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/69100.jpg
428.0,0.254,94.0,10.0,152.0,67.0,51.0,59.0,17.0,0.411,0.35,오지환,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/79109.jpg
180.0,0.241,39.0,6.0,61.0,14.0,14.0,24.0,0.0,0.377,0.306,김범석,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/53144.jpg
71.0,0.222,14.0,2.0,22.0,11.0,4.0,12.0,0.0,0.349,0.261,이영빈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/51100.jpg
16.0,0.2,3.0,0.0,4.0,8.0,0.0,2.0,0.0,0.267,0.25,김현종,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54166.jpg
56.0,0.184,9.0,0.0,10.0,8.0,4.0,3.0,2.0,0.204,0.241,안익훈,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/65115.jpg
9.0,0.167,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.167,0.444,김주성,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/66162.jpg
22.0,0.15,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.15,0.227,김민수,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/67504.jpg
17.0,0.143,2.0,0.0,2.0,3.0,2.0,0.0,0.0,0.143,0.25,함창건,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50108.jpg
105.0,0.138,11.0,0.0,13.0,10.0,9.0,11.0,0.0,0.163,0.3,허도환,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/77243.jpg
16.0,0.077,1.0,0.0,1.0,20.0,2.0,1.0,11.0,0.077,0.2,최승민,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/65905.jpg
21.0,0.067,1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.067,0.25,송찬의,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68110.jpg
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,김성우,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52105.jpg
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,김수인,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50115.jpg
3.0,0.667,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.667,류현준,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54219.jpg
11.0,0.4,4.0,0.0,4.0,2.0,1.0,0.0,3.0,0.4,0.455,여동건,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54205.jpg
34.0,0.333,9.0,0.0,11.0,10.0,7.0,1.0,1.0,0.407,0.471,전다민,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54214.jpg
169.0,0.326,47.0,10.0,95.0,29.0,21.0,39.0,4.0,0.66,0.42,제러드,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/54295.jpg
485.0,0.314,135.0,17.0,206.0,57.0,40.0,94.0,2.0,0.479,0.379,양의지,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/76232.jpg
477.0,0.309,129.0,7.0,178.0,69.0,36.0,61.0,5.0,0.427,0.384,허경민,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/79240.jpg
