일자,홈/어웨이,팀명,시즌평균자책점,시즌타율,시즌평균득점,시즌평균실점,홈어웨이평균자책점,홈어웨이시즌타율,홈어웨이평균득점,홈어웨이평균실점,맞대결평균자책점,맞대결타율,맞대결평균득점,맞대결평균실점
2024-09-20,어웨이,두산,4.83,0.277,5.4,5.2,5.42,0.289,5.8,5.5,5.85,0.262,4.7,6.2
2024-09-20,홈,LG,4.62,0.282,5.5,5.1,4.27,0.289,5.7,4.9,3.83,0.296,6.2,4.7
2024-09-20,어웨이,키움,5.07,0.264,4.6,5.4,5.49,0.273,5.3,5.8,4.95,0.232,3.7,5.3
2024-09-20,홈,SSG,5.32,0.274,5.2,5.8,5.50,0.280,5.5,6.2,3.72,0.277,5.3,3.7
2024-09-20,어웨이,롯데,5.07,0.284,5.6,5.5,5.36,0.262,5.0,5.6,4.61,0.288,5.9,5.0
2024-09-20,홈,NC,4.84,0.274,5.5,5.4,4.12,0.282,5.5,5.0,5.15,0.278,5.0,5.9
