일자,홈/어웨이,팀명,시즌평균자책점,시즌타율,시즌평균득점,시즌평균실점,홈어웨이평균자책점,홈어웨이시즌타율,홈어웨이평균득점,홈어웨이평균실점,맞대결평균자책점,맞대결타율,맞대결평균득점,맞대결평균실점
2024-09-24,어웨이,NC,4.84,0.274,5.5,5.4,5.63,0.267,5.4,5.9,4.54,0.232,3.6,5.2
2024-09-24,홈,두산,4.86,0.276,5.5,5.2,4.27,0.264,5.1,4.9,3.17,0.290,5.2,3.6
2024-09-24,어웨이,LG,4.65,0.282,5.5,5.1,4.99,0.275,5.3,5.2,3.96,0.250,6.1,4.3
2024-09-24,홈,SSG,5.29,0.273,5.2,5.7,5.50,0.280,5.5,6.2,5.65,0.244,4.3,6.1
2024-09-24,어웨이,롯데,5.05,0.283,5.6,5.5,5.31,0.261,5.0,5.6,5.15,0.289,5.5,5.8
2024-09-24,홈,KT,5.14,0.277,5.3,5.6,5.27,0.282,4.9,5.9,5.25,0.298,5.8,5.5
2024-09-24,어웨이,삼성,4.64,0.270,5.4,5.0,4.60,0.266,5.1,4.7,6.40,0.234,5.2,6.7
2024-09-24,홈,KIA,4.40,0.301,5.9,5.3,4.75,0.299,5.8,5.7,4.31,0.332,6.7,5.2
2024-09-24,어웨이,한화,5.04,0.271,5.2,5.5,4.99,0.275,5.4,5.4,4.39,0.260,4.8,5.3
2024-09-24,홈,키움,5.10,0.265,4.7,5.5,4.72,0.256,4.1,5.2,4.60,0.273,5.3,4.8
