일자,홈/어웨이,팀명,시즌평균자책점,시즌타율,시즌평균득점,시즌평균실점,홈어웨이평균자책점,홈어웨이시즌타율,홈어웨이평균득점,홈어웨이평균실점,맞대결평균자책점,맞대결타율,맞대결평균득점,맞대결평균실점
2024-09-23,어웨이,SSG,5.27,0.273,5.2,5.7,5.02,0.265,4.8,5.2,5.02,0.269,5.4,5.3
2024-09-23,홈,두산,4.86,0.276,5.5,5.2,4.27,0.264,5.1,4.9,5.65,0.272,5.3,5.4
2024-09-23,어웨이,삼성,4.63,0.270,5.4,5.0,4.58,0.267,5.1,4.7,6.45,0.239,5.4,6.8
2024-09-23,홈,KIA,4.41,0.301,6.0,5.3,4.77,0.298,5.8,5.7,4.40,0.328,6.8,5.4
2024-09-23,어웨이,롯데,5.07,0.284,5.6,5.5,5.36,0.261,5.0,5.6,5.95,0.297,6.1,6.6
2024-09-23,홈,한화,5.05,0.271,5.2,5.5,5.12,0.268,5.1,5.6,5.70,0.303,6.6,6.1
